20	9	1	2	8	4	10	7	3	6	5	0	0	0	0	0	0	0	1	0	0	77	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	232
21	9	5	6	2	3	10	7	4	1	8	0	1	0	1	1	0	0	1	1	0	74	74	72	73	71	72	72	73	74	74	74	74	6	4	0	75	2	79	1	0	24	8	8	3	3	0	0	0	1	1	1	1	4	6	1885	0	1	1	5	41
22	9	1	3	4	2	10	8	6	5	7	0	1	0	1	1	0	0	0	0	0	72	72	72	73	0	72	72	73	74	0	74	74	8	9	0	72	1	72	1	1	9998	1	1	1	1	0	1	1	1	1	1	2	1	2	1963	0	1	2	6	77
23	9	6	8	3	4	10	7	2	1	5	0	0	0	1	0	0	0	1	1	0	79	79	0	0	0	0	0	0	74	74	74	74	9	9	1	79	2	79	9	1	9998	1	3	1	2	1	1	1	0	1	1	1	3	2	1986	0	1	1	5	77
24	10	5	7	1	4	9	6	3	2	8	0	1	0	1	1	0	0	1	1	0	72	74	71	0	0	72	72	73	74	74	74	74	8	9	0	99	1	99	9	1	9998	5	5	0	4	1	1	1	0	0	0	1	2	1	1977	0	1	8	5	77
25	2	4	3	5	1	6	7	9	8	10	1	1	0	0	1	0	0	0	0	0	75	75	71	73	71	73	72	73	71	72	73	74	10	7	0	75	3	75	2	1	9998	3	9	2	3	0	1	1	1	0	0	2	1	6	1985	0	1	4	5	77
26	9	1	3	2	5	10	4	6	7	8	0	1	0	1	1	0	1	0	0	0	72	72	72	73	71	72	72	73	74	72	74	74	7	9	1	72	2	72	1	1	9998	1	1	1	1	1	0	1	1	1	1	9	3	4	1985	0	2	1	6	77
27	9998	1	9998	2	3	9998	9998	9998	9998	9998	0	1	0	1	1	0	0	0	0	0	72	74	72	73	0	72	72	73	74	74	74	74	8	8	0	74	2	74	1	1	9998	1	1	2	2	1	0	1	1	0	0	9	3	7	1982	0	2	2	6	77
28	1	3	2	9998	4	9998	9998	9998	9998	9998	1	0	1	0	1	0	0	0	0	0	71	71	71	71	71	73	72	73	71	72	73	74	8	5	0	71	2	71	2	1	9998	1	1	2	3	1	0	9	1	1	1	1	3	8	1988	0	2	1	5	77
29	9998	2	4	3	1	9998	9998	9998	9998	9998	0	1	0	1	1	0	0	0	0	0	72	75	72	73	0	72	72	73	74	72	74	74	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	77
30	9998	2	9998	1	3	9998	9998	4	5	9998	0	1	0	1	1	0	0	1	1	0	72	74	72	73	0	72	72	73	74	74	74	74	8	7	0	74	3	74	2	1	9998	1	1	4	3	0	1	1	0	1	1	2	3	6	1981	0	2	4	5	77
31	8	3	5	1	2	10	7	6	4	9	0	1	0	1	1	0	0	0	0	0	72	74	72	73	71	72	72	73	74	72	74	74	8	8	1	74	3	74	1	1	9998	1	1	3	3	0	1	1	0	0	0	4	3	5	1979	0	2	3	6	41
32	9998	1	3	4	2	9998	9998	9998	9998	9998	0	1	1	1	1	0	0	0	0	0	72	72	72	73	71	72	72	73	74	72	73	74	7	9	9	99	3	72	9	8	84	8	8	0	0	0	0	0	0	0	0	0	0	0	1973	0	1	3	6	77
33	9998	9998	9998	1	3	9998	9998	9998	2	9998	0	0	0	1	1	0	0	1	1	0	74	74	72	73	0	72	72	73	74	74	74	74	9	9	1	74	2	74	1	1	9998	1	3	1	1	1	1	0	1	1	1	1	3	2	1985	0	2	1	5	77
34	9998	3	9998	1	2	9998	9998	9998	9998	9998	0	1	0	1	1	0	0	1	1	0	72	74	72	73	0	72	72	73	74	72	74	74	7	8	0	0	2	99	1	1	9998	1	1	3	3	0	1	1	0	0	0	1	3	7	1978	0	1	2	6	200
35	9998	1	3	9998	2	9998	9998	9998	9998	9998	0	1	0	0	1	0	0	0	0	0	72	72	72	73	0	72	72	73	74	72	73	74	10	10	1	72	2	72	1	1	9998	1	1	1	2	1	0	1	1	0	0	4	2	5	1984	0	1	1	5	84
36	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	77
37	2	9	7	5	10	1	8	4	6	3	1	0	0	0	0	1	0	1	0	0	71	76	71	71	76	73	76	76	71	74	73	74	5	7	0	76	3	76	2	8	157	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157
38	9998	2	9998	3	1	9998	9998	9998	9998	9998	0	1	0	1	1	0	0	0	0	0	75	75	72	73	0	72	72	73	74	0	74	74	6	7	1	75	2	75	1	1	9998	1	1	1	2	1	1	9	0	0	0	1	3	4	1954	0	1	2	6	77
